name,站点类型,Lon,Lat,侧项类别,统计时间,更新时间,纬度,经度
盐边红格强震台,无人值守,102,27,强震,2020年3月,48:10.0,,
石棉先锋强震台,无人值守,102,29,强震,2020年3月,48:10.0,,
石棉挖角强震台,无人值守,102,29,强震,2020年3月,48:10.0,,
石棉擦罗强震台,无人值守,102,29,强震,2020年3月,48:10.0,,
石棉栗子强震台,无人值守,102,29,强震,2020年3月,48:10.0,,
石棉美罗强震台,无人值守,102,29,强震,2020年3月,48:10.0,,
石棉草科强震台,无人值守,102,29,强震,2020年3月,48:10.0,,
筠连地办强震台,无人值守,105,28,强震,2020年3月,48:10.0,,
米易撒连强震台,无人值守,102,27,强震,2020年3月,48:10.0,,
米易攀莲强震台,无人值守,101,27,强震,2020年3月,48:10.0,,
米易黄龙强震台,无人值守,102,27,强震,2020年3月,48:10.0,,
红原刷经强震台,无人值守,103,32,强震,2020年3月,48:10.0,,
绵竹兴隆强震台,无人值守,104,32,强震,2020年3月,48:10.0,,
绵竹清平强震台,无人值守,104,31,强震,2020年3月,48:10.0,,
自贡三元强震台,无人值守,105,29,强震,2020年3月,48:10.0,,
自贡九洪强震台,无人值守,105,29,强震,2020年3月,48:10.0,,
自贡代寺强震台,无人值守,105,29,强震,2020年3月,48:10.0,,
自贡台阵0强震台,无人值守,105,29,强震,2020年3月,48:10.0,,
自贡台阵1强震台,无人值守,105,29,强震,2020年3月,48:10.0,,
自贡台阵2强震台,无人值守,105,29,强震,2020年3月,48:10.0,,
自贡台阵3强震台,无人值守,105,29,强震,2020年3月,48:10.0,,
自贡台阵4强震台,无人值守,105,29,强震,2020年3月,48:10.0,,
自贡台阵5强震台,无人值守,105,29,强震,2020年3月,48:10.0,,
自贡台阵6强震台,无人值守,105,29,强震,2020年3月,48:10.0,,
自贡台阵7强震台,无人值守,105,29,强震,2020年3月,48:10.0,,
自贡长山强震台,无人值守,104,29,强震,2020年3月,48:10.0,,
芦山凤禾强震台,无人值守,103,30,强震,2020年3月,48:10.0,,
芦山计生强震台,无人值守,103,30,强震,2020年3月,48:10.0,,
芦山飞仙强震台,无人值守,103,30,强震,2020年3月,48:10.0,,
苍溪气象强震台,无人值守,106,32,强震,2020年3月,48:10.0,,
茂县南新强震台,无人值守,104,32,强震,2020年3月,48:10.0,,
茂县叠溪强震台,无人值守,104,32,强震,2020年3月,48:10.0,,
茂县地办强震台,无人值守,104,32,强震,2020年3月,48:10.0,,
茂县富顺强震台,无人值守,104,32,强震,2020年3月,48:10.0,,
茂县白溪强震台,无人值守,104,32,强震,2020年3月,48:10.0,,
荥经凰仪强震台,无人值守,103,30,强震,2020年3月,48:10.0,,
荥经石龙强震台,无人值守,103,30,强震,2020年3月,48:10.0,,
蒲江五星强震台,无人值守,104,30,强震,2020年3月,48:10.0,,
蒲江大兴强震台,无人值守,103,30,强震,2020年3月,48:10.0,,
西昌佑君强震台,无人值守,102,28,强震,2020年3月,48:10.0,,
西昌大石强震台,无人值守,102,28,强震,2020年3月,48:10.0,,
西昌小庙强震台,无人值守,102,28,强震,2020年3月,48:10.0,,
西昌川兴强震台,无人值守,102,28,强震,2020年3月,48:10.0,,
